6|6,6.670951843261719
60 6|60 6,6.9904327392578125
6 60 6|6 60 6,6.7806243896484375
12 60 6|12 60 6,7.081031799316406
18 60 6|18 60 6,6.67572021484375
24 60 6|24 60 6,6.775856018066406
30 60 6|30 60 6,7.128715515136719
36 60 6|36 60 6,7.319450378417969
42 60 6|42 60 6,7.052421569824219
48 60 6|48 60 6,7.2383880615234375
54 60 6|54 60 6,7.28607177734375
60 60 6|60 60 6,8.039474487304688
66 60 6|66 60 6,7.59124755859375
72 60 6|72 60 6,8.072853088378906
78 60 6|78 60 6,7.777214050292968
84 60 6|84 60 6,7.843971252441406
90 60 6|90 60 6,7.739067077636719
96 60 6|96 60 6,8.230209350585938
66 6|66 6,6.82830810546875
6 66 6|6 66 6,7.0285797119140625
12 66 6|12 66 6,7.090568542480469
18 66 6|18 66 6,7.109642028808594
24 66 6|24 66 6,6.9522857666015625
30 66 6|30 66 6,6.718635559082031
36 66 6|36 66 6,7.023811340332031
42 66 6|42 66 6,6.7996978759765625
48 66 6|48 66 6,7.481575012207031
54 66 6|54 66 6,7.839202880859376
60 66 6|60 66 6,7.5531005859375
66 66 6|66 66 6,7.662773132324219
72 66 6|72 66 6,8.73565673828125
78 66 6|78 66 6,7.767677307128906
84 66 6|84 66 6,8.940696716308594
90 66 6|90 66 6,8.215904235839844
96 66 6|96 66 6,8.697509765625
72 6|72 6,6.7806243896484375
6 72 6|6 72 6,6.699562072753906
12 72 6|12 72 6,6.775856018066406
18 72 6|18 72 6,6.928443908691406
24 72 6|24 72 6,6.8569183349609375
30 72 6|30 72 6,7.419586181640625
36 72 6|36 72 6,7.138252258300781
42 72 6|42 72 6,7.243156433105469
48 72 6|48 72 6,7.328987121582031
54 72 6|54 72 6,7.672309875488281
60 72 6|60 72 6,7.743835449218749
66 72 6|66 72 6,8.192062377929688
72 72 6|72 72 6,8.130073547363281
78 72 6|78 72 6,7.929801940917968
84 72 6|84 72 6,7.996559143066406
90 72 6|90 72 6,8.225440979003906
96 72 6|96 72 6,8.816719055175781
78 6|78 6,6.3991546630859375
6 78 6|6 78 6,6.594657897949219
12 78 6|12 78 6,6.785392761230469
18 78 6|18 78 6,6.7424774169921875
24 78 6|24 78 6,6.82830810546875
30 78 6|30 78 6,6.756782531738281
36 78 6|36 78 6,6.899833679199219
42 78 6|42 78 6,7.348060607910156
48 78 6|48 78 6,7.86304473876953
54 78 6|54 78 6,7.3719024658203125
60 78 6|60 78 6,7.6389312744140625
66 78 6|66 78 6,7.748603820800781
72 78 6|72 78 6,8.182525634765625
78 78 6|78 78 6,7.801055908203125
84 78 6|84 78 6,8.368492126464844
90 78 6|90 78 6,8.831024169921875
96 78 6|96 78 6,8.96453857421875
84 6|84 6,6.661415100097656
6 84 6|6 84 6,6.384849548339844
12 84 6|12 84 6,7.038116455078125
18 84 6|18 84 6,6.976127624511719
24 84 6|24 84 6,6.9427490234375
30 84 6|30 84 6,6.8759918212890625
36 84 6|36 84 6,7.0858001708984375
42 84 6|42 84 6,7.567405700683594
48 84 6|48 84 6,7.395744323730469
54 84 6|54 84 6,8.039474487304688
60 84 6|60 84 6,8.006095886230469
66 84 6|66 84 6,8.311271667480469
72 84 6|72 84 6,8.578300476074219
78 84 6|78 84 6,8.544921875
84 84 6|84 84 6,8.58306884765625
90 84 6|90 84 6,9.026527404785156
96 84 6|96 84 6,9.174346923828125
90 6|90 6,6.518363952636719
6 90 6|6 90 6,6.5326690673828125
12 90 6|12 90 6,6.852149963378906
18 90 6|18 90 6,6.880760192871094
24 90 6|24 90 6,6.585121154785156
30 90 6|30 90 6,6.775856018066406
36 90 6|36 90 6,7.300376892089844
42 90 6|42 90 6,7.2193145751953125
48 90 6|48 90 6,7.801055908203125
54 90 6|54 90 6,7.824897766113281
60 90 6|60 90 6,8.382797241210938
66 90 6|66 90 6,7.967948913574219
72 90 6|72 90 6,8.726119995117188
78 90 6|78 90 6,8.487701416015625
84 90 6|84 90 6,8.9263916015625
90 90 6|90 90 6,8.792877197265625
96 90 6|96 90 6,8.831024169921875
96 6|96 6,6.747245788574219
6 96 6|6 96 6,6.890296936035156
12 96 6|12 96 6,7.042884826660156
18 96 6|18 96 6,6.918907165527344
24 96 6|24 96 6,7.071495056152344
30 96 6|30 96 6,7.0667266845703125
36 96 6|36 96 6,7.5531005859375
42 96 6|42 96 6,7.605552673339844
48 96 6|48 96 6,7.843971252441406
54 96 6|54 96 6,7.5531005859375
60 96 6|60 96 6,8.292198181152344
66 96 6|66 96 6,8.50677490234375
72 96 6|72 96 6,8.406639099121094
78 96 6|78 96 6,8.893013000488281
84 96 6|84 96 6,8.4686279296875
90 96 6|90 96 6,9.284019470214844
96 96 6|96 96 6,9.450912475585938
12|12,6.279945373535156
6 12|6 12,6.732940673828125
6 6 12|6 6 12,6.6089630126953125
12 6 12|12 6 12,7.972717285156249
18 6 12|18 6 12,6.785392761230469
24 6 12|24 6 12,6.918907165527344
30 6 12|30 6 12,6.8187713623046875
36 6 12|36 6 12,12.197494506835938
42 6 12|42 6 12,7.1239471435546875
48 6 12|48 6 12,9.236335754394531
54 6 12|54 6 12,6.518363952636719
60 6 12|60 6 12,6.7138671875
66 6 12|66 6 12,6.594657897949219
72 6 12|72 6 12,6.709098815917969
78 6 12|78 6 12,6.594657897949219
84 6 12|84 6 12,6.6661834716796875
90 6 12|90 6 12,6.923675537109375
96 6 12|96 6 12,6.775856018066406
12 12|12 12,6.556510925292969
6 12 12|6 12 12,7.004737854003906
12 12 12|12 12 12,6.9713592529296875
18 12 12|18 12 12,8.349418640136719
24 12 12|24 12 12,6.5898895263671875
30 12 12|30 12 12,6.6375732421875
36 12 12|36 12 12,6.67572021484375
42 12 12|42 12 12,6.694793701171875
48 12 12|48 12 12,7.367134094238281
54 12 12|54 12 12,6.918907165527344
60 12 12|60 12 12,6.847381591796875
66 12 12|66 12 12,6.52313232421875
72 12 12|72 12 12,6.866455078125
78 12 12|78 12 12,6.75201416015625
84 12 12|84 12 12,6.847381591796875
90 12 12|90 12 12,6.98089599609375
96 12 12|96 12 12,7.476806640625
18 12|18 12,6.852149963378906
6 18 12|6 18 12,6.804466247558594
12 18 12|12 18 12,6.680488586425781
18 18 12|18 18 12,6.642341613769531
24 18 12|24 18 12,6.7138671875
30 18 12|30 18 12,6.518363952636719
36 18 12|36 18 12,6.6661834716796875
42 18 12|42 18 12,6.7043304443359375
48 18 12|48 18 12,6.9427490234375
54 18 12|54 18 12,6.918907165527344
60 18 12|60 18 12,6.976127624511719
66 18 12|66 18 12,7.0095062255859375
72 18 12|72 18 12,7.195472717285156
78 18 12|78 18 12,7.395744323730469
84 18 12|84 18 12,6.804466247558594
90 18 12|90 18 12,7.20977783203125
96 18 12|96 18 12,7.4672698974609375
24 12|24 12,6.6280364990234375
6 24 12|6 24 12,6.732940673828125
12 24 12|12 24 12,7.185935974121094
18 24 12|18 24 12,6.327629089355469
24 24 12|24 24 12,6.809234619140625
30 24 12|30 24 12,6.976127624511719
36 24 12|36 24 12,6.9904327392578125
42 24 12|42 24 12,6.814002990722656
48 24 12|48 24 12,6.98089599609375
54 24 12|54 24 12,7.357597351074219
