6|6,10.79559326171875
54 78 6|54 78 6,12.497901916503906
60 78 6|60 78 6,12.869834899902344
66 78 6|66 78 6,13.937950134277344
72 78 6|72 78 6,13.666152954101562
78 78 6|78 78 6,13.54217529296875
84 78 6|84 78 6,13.608932495117188
90 78 6|90 78 6,13.604164123535156
96 78 6|96 78 6,13.232231140136719
84 6|84 6,11.038780212402344
6 84 6|6 84 6,10.881423950195312
12 84 6|12 84 6,10.876655578613281
18 84 6|18 84 6,11.377334594726562
24 84 6|24 84 6,12.001991271972656
30 84 6|30 84 6,11.534690856933594
36 84 6|36 84 6,12.545585632324219
42 84 6|42 84 6,12.450218200683594
48 84 6|48 84 6,12.431144714355469
54 84 6|54 84 6,12.903213500976562
60 84 6|60 84 6,13.060569763183594
66 84 6|66 84 6,13.098716735839844
72 84 6|72 84 6,13.408660888671875
78 84 6|78 84 6,13.270378112792969
84 84 6|84 84 6,13.308525085449219
90 84 6|90 84 6,13.041496276855469
96 84 6|96 84 6,13.794898986816406
90 6|90 6,11.434555053710938
6 90 6|6 90 6,11.148452758789062
12 90 6|12 90 6,10.991096496582031
18 90 6|18 90 6,11.572837829589844
24 90 6|24 90 6,11.353492736816406
30 90 6|30 90 6,12.102127075195312
36 90 6|36 90 6,11.739730834960938
42 90 6|42 90 6,13.108253479003906
48 90 6|48 90 6,13.942718505859375
54 90 6|54 90 6,12.612342834472656
60 90 6|60 90 6,13.337135314941406
66 90 6|66 90 6,12.998580932617188
72 90 6|72 90 6,13.08441162109375
78 90 6|78 90 6,13.227462768554688
84 90 6|84 90 6,13.5040283203125
90 90 6|90 90 6,13.971328735351562
96 90 6|96 90 6,14.128684997558594
96 6|96 6,11.463165283203125
6 96 6|6 96 6,10.685920715332031
12 96 6|12 96 6,11.606216430664062
18 96 6|18 96 6,11.29150390625
24 96 6|24 96 6,12.516975402832031
30 96 6|30 96 6,11.725425720214844
36 96 6|36 96 6,12.497901916503906
42 96 6|42 96 6,12.631416320800781
48 96 6|48 96 6,12.426376342773438
54 96 6|54 96 6,12.879371643066406
60 96 6|60 96 6,13.303756713867188
66 96 6|66 96 6,13.241767883300781
72 96 6|72 96 6,14.977455139160156
78 96 6|78 96 6,12.807846069335938
84 96 6|84 96 6,13.3514404296875
90 96 6|90 96 6,14.233589172363281
96 96 6|96 96 6,13.375282287597656
12|12,11.310577392578125
6 12|6 12,10.728836059570312
6 6 12|6 6 12,10.728836059570312
12 6 12|12 6 12,11.272430419921875
18 6 12|18 6 12,11.0626220703125
24 6 12|24 6 12,10.79559326171875
30 6 12|30 6 12,11.034011840820312
36 6 12|36 6 12,10.895729064941406
42 6 12|42 6 12,10.623931884765625
48 6 12|48 6 12,10.6048583984375
54 6 12|54 6 12,10.728836059570312
60 6 12|60 6 12,11.296272277832031
66 6 12|66 6 12,11.038780212402344
72 6 12|72 6 12,11.019706726074219
78 6 12|78 6 12,10.590553283691406
84 6 12|84 6 12,10.9100341796875
90 6 12|90 6 12,11.196136474609375
96 6 12|96 6 12,11.248588562011719
12 12|12 12,11.029243469238281
6 12 12|6 12 12,10.890960693359375
12 12 12|12 12 12,10.633468627929688
18 12 12|18 12 12,10.800361633300781
24 12 12|24 12 12,11.010169982910156
30 12 12|30 12 12,11.644363403320312
36 12 12|36 12 12,10.929107666015625
42 12 12|42 12 12,12.412071228027344
48 12 12|48 12 12,11.162757873535156
54 12 12|54 12 12,10.962486267089844
60 12 12|60 12 12,10.972023010253906
66 12 12|66 12 12,11.444091796875
72 12 12|72 12 12,11.339187622070312
78 12 12|78 12 12,11.615753173828125
84 12 12|84 12 12,11.138916015625
90 12 12|90 12 12,11.458396911621094
96 12 12|96 12 12,11.639595031738281
18 12|18 12,10.504722595214844
6 18 12|6 18 12,10.986328125
12 18 12|12 18 12,10.972023010253906
18 18 12|18 18 12,10.943412780761719
24 18 12|24 18 12,10.819435119628906
30 18 12|30 18 12,11.324882507324219
36 18 12|36 18 12,12.09259033203125
42 18 12|42 18 12,11.172294616699219
48 18 12|48 18 12,12.936592102050781
54 18 12|54 18 12,11.162757873535156
60 18 12|60 18 12,11.754035949707031
66 18 12|66 18 12,11.286735534667969
72 18 12|72 18 12,11.568069458007812
78 18 12|78 18 12,11.639595031738281
84 18 12|84 18 12,12.5885009765625
90 18 12|90 18 12,12.254714965820312
96 18 12|96 18 12,12.145042419433594
24 12|24 12,10.652542114257812
6 24 12|6 24 12,10.857582092285156
12 24 12|12 24 12,10.967254638671875
18 24 12|18 24 12,10.809898376464844
24 24 12|24 24 12,10.633468627929688
30 24 12|30 24 12,11.224746704101562
36 24 12|36 24 12,11.205673217773438
42 24 12|42 24 12,11.577606201171875
48 24 12|48 24 12,11.854171752929688
54 24 12|54 24 12,12.865066528320312
60 24 12|60 24 12,12.326240539550781
66 24 12|66 24 12,12.059211730957031
72 24 12|72 24 12,11.687278747558594
78 24 12|78 24 12,12.907981872558594
84 24 12|84 24 12,12.173652648925781
90 24 12|90 24 12,12.559890747070312
96 24 12|96 24 12,12.159347534179688
30 12|30 12,10.919570922851562
6 30 12|6 30 12,10.743141174316406
12 30 12|12 30 12,10.766983032226562
18 30 12|18 30 12,11.987686157226562
24 30 12|24 30 12,10.986328125
30 30 12|30 30 12,11.286735534667969
36 30 12|36 30 12,11.477470397949219
42 30 12|42 30 12,11.773109436035156
48 30 12|48 30 12,11.906623840332031
54 30 12|54 30 12,11.987686157226562
60 30 12|60 30 12,12.269020080566406
66 30 12|66 30 12,12.001991271972656
72 30 12|72 30 12,13.833045959472656
78 30 12|78 30 12,12.745857238769531
84 30 12|84 30 12,12.860298156738281
90 30 12|90 30 12,14.34326171875
96 30 12|96 30 12,13.16070556640625
36 12|36 12,10.824203491210938
6 36 12|6 36 12,11.081695556640625
12 36 12|12 36 12,11.034011840820312
18 36 12|18 36 12,11.115074157714844
24 36 12|24 36 12,11.649131774902344
30 36 12|30 36 12,11.706352233886719
36 36 12|36 36 12,11.425018310546875
42 36 12|42 36 12,11.8255615234375
48 36 12|48 36 12,11.944770812988281
54 36 12|54 36 12,12.292861938476562
60 36 12|60 36 12,12.32147216796875
66 36 12|66 36 12,12.469291687011719
72 36 12|72 36 12,12.993812561035156
78 36 12|78 36 12,13.418197631835938
84 36 12|84 36 12,12.965202331542969
90 36 12|90 36 12,13.136863708496094
96 36 12|96 36 12,13.575553894042969
42 12|42 12,10.895729064941406
6 42 12|6 42 12,10.714530944824219
12 42 12|12 42 12,11.9781494140625
18 42 12|18 42 12,13.527870178222656
24 42 12|24 42 12,11.854171752929688
30 42 12|30 42 12,12.040138244628906
36 42 12|36 42 12,13.12255859375
42 42 12|42 42 12,12.121200561523438
48 42 12|48 42 12,12.798309326171875
54 42 12|54 42 12,12.440681457519531
60 42 12|60 42 12,12.39776611328125
66 42 12|66 42 12,12.717247009277344
72 42 12|72 42 12,13.413429260253906
78 42 12|78 42 12,13.003349304199219
84 42 12|84 42 12,14.543533325195312
90 42 12|90 42 12,13.093948364257812
96 42 12|96 42 12,13.632774353027344
48 12|48 12,10.7574462890625
6 48 12|6 48 12,11.034011840820312
