6|6,4.115104675292969
12 84 6|12 84 6,9.903907775878906
18 84 6|18 84 6,12.302398681640625
24 84 6|24 84 6,12.412071228027344
30 84 6|30 84 6,13.260841369628906
36 84 6|36 84 6,14.529228210449219
42 84 6|42 84 6,16.965866088867188
48 84 6|48 84 6,16.717910766601562
54 84 6|54 84 6,18.095970153808594
60 84 6|60 84 6,19.655227661132812
66 84 6|66 84 6,21.89159393310547
72 84 6|72 84 6,21.67224884033203
78 84 6|78 84 6,23.30303192138672
84 84 6|84 84 6,25.315284729003906
90 84 6|90 84 6,25.386810302734375
96 84 6|96 84 6,30.837059020996094
90 6|90 6,7.457733154296875
6 90 6|6 90 6,8.869171142578125
12 90 6|12 90 6,10.404586791992188
18 90 6|18 90 6,12.760162353515625
24 90 6|24 90 6,12.7410888671875
30 90 6|30 90 6,14.233589172363281
36 90 6|36 90 6,15.411376953125
42 90 6|42 90 6,17.7764892578125
48 90 6|48 90 6,18.777847290039062
54 90 6|54 90 6,18.978118896484375
60 90 6|60 90 6,19.588470458984375
66 90 6|66 90 6,22.559165954589844
72 90 6|72 90 6,22.411346435546875
78 90 6|78 90 6,23.517608642578125
84 90 6|84 90 6,24.91474151611328
90 90 6|90 90 6,27.899742126464844
96 90 6|96 90 6,34.72328186035156
96 6|96 6,8.04901123046875
6 96 6|6 96 6,10.423660278320312
12 96 6|12 96 6,11.048316955566406
18 96 6|18 96 6,11.801719665527344
24 96 6|24 96 6,13.155937194824219
30 96 6|30 96 6,14.553070068359375
36 96 6|36 96 6,15.306472778320312
42 96 6|42 96 6,17.066001892089844
48 96 6|48 96 6,935.4019165039062
54 96 6|54 96 6,20.308494567871094
60 96 6|60 96 6,21.66748046875
66 96 6|66 96 6,25.51555633544922
72 96 6|72 96 6,24.30438995361328
78 96 6|78 96 6,100.19302368164062
84 96 6|84 96 6,28.1524658203125
90 96 6|90 96 6,36.28253936767578
96 96 6|96 96 6,39.59178924560547
12|12,5.602836608886719
6 12|6 12,8.068084716796875
6 6 12|6 6 12,8.363723754882812
12 6 12|12 6 12,9.188652038574219
18 6 12|18 6 12,8.344650268554688
24 6 12|24 6 12,8.645057678222656
30 6 12|30 6 12,8.120536804199219
36 6 12|36 6 12,8.034706115722656
42 6 12|42 6 12,8.521080017089844
48 6 12|48 6 12,10.075569152832031
54 6 12|54 6 12,9.698867797851562
60 6 12|60 6 12,10.504722595214844
66 6 12|66 6 12,10.156631469726562
72 6 12|72 6 12,10.6048583984375
78 6 12|78 6 12,9.851455688476562
84 6 12|84 6 12,9.999275207519531
90 6 12|90 6 12,10.991096496582031
96 6 12|96 6 12,11.019706726074219
12 12|12 12,7.348060607910156
6 12 12|6 12 12,7.896423339843749
12 12 12|12 12 12,7.843971252441406
18 12 12|18 12 12,8.630752563476562
24 12 12|24 12 12,9.26971435546875
30 12 12|30 12 12,8.864402770996094
36 12 12|36 12 12,9.093284606933594
42 12 12|42 12 12,10.533332824707031
48 12 12|48 12 12,10.480880737304688
54 12 12|54 12 12,11.8255615234375
60 12 12|60 12 12,12.431144714355469
66 12 12|66 12 12,11.744499206542969
72 12 12|72 12 12,11.920928955078125
78 12 12|78 12 12,12.197494506835938
84 12 12|84 12 12,12.602806091308594
90 12 12|90 12 12,12.912750244140625
96 12 12|96 12 12,12.941360473632812
18 12|18 12,7.534027099609375
6 18 12|6 18 12,8.697509765625
12 18 12|12 18 12,8.697509765625
18 18 12|18 18 12,9.288787841796875
24 18 12|24 18 12,10.123252868652344
30 18 12|30 18 12,10.933876037597656
36 18 12|36 18 12,10.023117065429688
42 18 12|42 18 12,10.876655578613281
48 18 12|48 18 12,12.7410888671875
54 18 12|54 18 12,12.869834899902344
60 18 12|60 18 12,12.378692626953125
66 18 12|66 18 12,14.204978942871094
72 18 12|72 18 12,12.822151184082031
78 18 12|78 18 12,15.501976013183592
84 18 12|84 18 12,14.348030090332031
90 18 12|90 18 12,14.481544494628906
96 18 12|96 18 12,15.630722045898438
24 12|24 12,7.190704345703125
6 24 12|6 24 12,9.617805480957031
12 24 12|12 24 12,8.821487426757812
18 24 12|18 24 12,11.415481567382812
24 24 12|24 24 12,12.55035400390625
30 24 12|30 24 12,11.219978332519531
36 24 12|36 24 12,12.650489807128906
42 24 12|42 24 12,12.388229370117188
48 24 12|48 24 12,13.813972473144531
54 24 12|54 24 12,13.895034790039062
60 24 12|60 24 12,16.050338745117188
66 24 12|66 24 12,15.201568603515625
72 24 12|72 24 12,15.807151794433594
78 24 12|78 24 12,16.198158264160156
84 24 12|84 24 12,16.455650329589844
90 24 12|90 24 12,18.396377563476562
96 24 12|96 24 12,19.826889038085938
30 12|30 12,9.465217590332031
6 30 12|6 30 12,8.81195068359375
12 30 12|12 30 12,9.088516235351562
18 30 12|18 30 12,10.852813720703125
24 30 12|24 30 12,11.820793151855469
30 30 12|30 30 12,12.784004211425781
36 30 12|36 30 12,12.826919555664062
