6|6,3.1423568725585938
96 72 6|96 72 6,18.96381378173828
78 6|78 6,7.0095062255859375
6 78 6|6 78 6,6.923675537109375
12 78 6|12 78 6,7.9345703125
18 78 6|18 78 6,7.677078247070313
24 78 6|24 78 6,7.7915191650390625
30 78 6|30 78 6,8.902549743652344
36 78 6|36 78 6,8.635520935058594
42 78 6|42 78 6,9.851455688476562
48 78 6|48 78 6,9.822845458984375
54 78 6|54 78 6,10.657310485839844
60 78 6|60 78 6,10.581016540527344
66 78 6|66 78 6,12.24517822265625
72 78 6|72 78 6,13.1988525390625
78 78 6|78 78 6,12.784004211425781
84 78 6|84 78 6,14.734268188476562
90 78 6|90 78 6,15.974044799804688
96 78 6|96 78 6,17.480850219726562
84 6|84 6,6.251335144042969
6 84 6|6 84 6,7.500648498535156
12 84 6|12 84 6,8.111000061035156
18 84 6|18 84 6,8.397102355957031
24 84 6|24 84 6,7.901191711425781
30 84 6|30 84 6,9.698867797851562
36 84 6|36 84 6,8.81195068359375
42 84 6|42 84 6,9.57489013671875
48 84 6|48 84 6,10.690689086914062
54 84 6|54 84 6,11.415481567382812
60 84 6|60 84 6,11.2152099609375
66 84 6|66 84 6,12.788772583007812
72 84 6|72 84 6,12.16888427734375
78 84 6|78 84 6,14.162063598632812
84 84 6|84 84 6,17.20905303955078
90 84 6|90 84 6,16.71314239501953
96 84 6|96 84 6,20.308494567871094
90 6|90 6,5.970001220703125
6 90 6|6 90 6,6.7615509033203125
12 90 6|12 90 6,7.290840148925781
18 90 6|18 90 6,7.4481964111328125
24 90 6|24 90 6,7.996559143066406
30 90 6|30 90 6,8.616447448730469
36 90 6|36 90 6,9.474754333496094
42 90 6|42 90 6,9.932518005371094
48 90 6|48 90 6,10.476112365722656
54 90 6|54 90 6,11.830329895019531
60 90 6|60 90 6,11.606216430664062
66 90 6|66 90 6,12.354850769042969
72 90 6|72 90 6,14.338493347167969
78 90 6|78 90 6,14.843940734863281
84 90 6|84 90 6,15.530586242675781
90 90 6|90 90 6,15.959739685058594
96 90 6|96 90 6,22.792816162109375
96 6|96 6,6.442070007324219
6 96 6|6 96 6,6.632804870605469
12 96 6|12 96 6,7.243156433105469
18 96 6|18 96 6,8.320808410644531
24 96 6|24 96 6,8.65936279296875
30 96 6|30 96 6,9.655952453613281
36 96 6|36 96 6,9.641647338867188
42 96 6|42 96 6,10.371208190917969
48 96 6|48 96 6,11.043548583984375
54 96 6|54 96 6,11.091232299804688
60 96 6|60 96 6,12.106895446777344
66 96 6|66 96 6,12.392997741699219
72 96 6|72 96 6,14.68658447265625
78 96 6|78 96 6,14.576911926269531
84 96 6|84 96 6,17.676353454589844
90 96 6|90 96 6,16.922950744628906
96 96 6|96 96 6,23.80847930908203
12|12,4.649162292480469
6 12|6 12,6.546974182128906
6 6 12|6 6 12,6.232261657714844
12 6 12|12 6 12,6.4373016357421875
18 6 12|18 6 12,6.785392761230469
24 6 12|24 6 12,6.413459777832031
30 6 12|30 6 12,6.5517425537109375
36 6 12|36 6 12,6.6852569580078125
42 6 12|42 6 12,6.718635559082031
